,index,r,l,t
0,0,49.030111,20,5.581423044204712
1,1,48.120111,19,5.760898113250732
2,2,49.030111,20,5.947521924972534
3,3,49.030111,20,6.157358884811401
4,4,45.966967,17,6.308983087539673
5,5,49.030111,20,6.500427961349487
6,6,48.120111,19,6.675002098083496
7,7,47.189338,18,6.835752964019775
8,8,45.323316,17,7.077347993850708
9,9,42.748096000000004,15,7.20964503288269
10,10,44.478578999999996,16,7.348347902297974
11,11,45.966967,17,7.494200944900513
12,12,38.648787,13,7.6044769287109375
13,13,48.120111,19,7.773324012756348
14,14,49.137188,18,7.952840089797974
15,15,42.748096000000004,15,8.083581924438477
16,16,50.285491,20,8.26661205291748
17,17,49.030111,20,8.44555401802063
18,18,46.152538,18,8.657089948654175
19,19,45.966967,17,8.810686111450195
20,20,44.478578999999996,16,8.950968027114868
21,21,44.478578999999996,16,9.097028017044067
22,22,40.797872,14,9.2207350730896
23,23,47.189338,18,9.381091117858887
24,24,49.030111,20,9.560592889785767
25,25,45.764595,17,9.73228907585144
26,26,48.099338,19,9.906429052352905
27,27,39.942744,14,10.040657997131348
28,28,42.618538,15,10.18264889717102
29,29,44.411640000000006,17,10.359184980392456
30,30,44.478578999999996,16,10.492516994476318
31,31,50.037973,20,10.669157981872559
32,32,42.748096000000004,15,10.80220890045166
33,33,49.030111,20,10.976815938949585
34,34,42.748096000000004,15,11.103198051452637
35,35,44.478578999999996,16,11.245790004730225
36,36,49.030111,20,11.419291019439697
37,37,49.030111,20,11.594307899475098
38,38,45.966967,17,11.74872899055481
39,39,46.423363,17,11.932996034622192
40,40,48.938845,19,12.11237096786499
41,41,47.083353,18,12.277771949768066
42,42,48.957015999999996,19,12.451572895050049
43,43,44.478578999999996,16,12.592849969863892
44,44,42.748096000000004,15,12.723267078399658
45,45,44.478578999999996,16,12.856816053390503
46,46,47.264246,18,13.019021987915039
47,47,47.189338,18,13.177398920059204
48,48,47.189338,18,13.337435960769653
49,49,49.030111,20,13.521624088287354
50,50,42.19657,15,13.655375957489014
51,51,48.120111,19,13.82598090171814
52,52,42.748096000000004,15,13.96013593673706
53,53,42.380849,15,14.112766027450562
54,54,45.966967,17,14.267436981201172
55,55,45.107255,17,14.437902927398682
56,56,49.030111,20,14.635410070419312
57,57,47.189338,18,14.842325925827026
58,58,48.749609,18,16.961700916290283
59,59,49.030111,20,17.167479991912842
60,60,44.478578999999996,16,17.329161882400513
61,61,47.189338,18,17.517596006393433
62,62,47.189338,18,17.687077045440674
63,63,42.395132000000004,15,17.83567190170288
